NUMBER,CENTROIDER,DATA,suma por microcluster;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.46692174348992505, -0.11552988107190339]"",";;;;;;;;;;Hay 3 grupos finales y uno de ellos representa valores atípicos (el negro).;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.46621871557331024, -0.11723523393917404]"",";;;;;;;;;;- Cluster n°1 -> 108 microClusters;;;;12437;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.4616474261519802, -0.12321295340478715]"",";;;;;;;;;;- Cluster n°2 -> 1 microClusters;;;;52;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.45069827368342685, -0.12591918197600077]"",";;;;;;;;;;- Cluster n°-1 -> 104 microClusters;;;;1607;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.4347577800548219, -0.12287937131442432]"",";;;;;;;;;;TOTAL;;;;14096;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.42679400070608475, -0.10376599934225118]"",";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.43092187915864477, -0.0590283370605379]"",";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.4396958352025909, -0.020901283839229932]"",";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.4708740951521024, -0.09164935069282923]"",";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.47099108354535635, -0.10242324632128191]"",";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.47099108354535635, -0.10242324632128191]"",";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.47099108354535635, -0.10242324632128191]"",";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.45291727004958504, -0.12024514397798518]"",";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.4371584295967222, -0.1324455541371165]"",";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.4272783109701484, -0.11915869053330388]"",";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.42465465495755617, -0.08738755267441518]"",";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.4347850143428241, -0.04095409338813911]"",";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.44903185440942195, 0.012683703759237998]"",";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.4690905168067011, -0.1951611982376554]"",";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.467747587688902, -0.19199695490608476]"",";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.4668416850386715, -0.19265233462867024]"",";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.4664348956421276, -0.19333283343517088]"",";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.4664433620220202, -0.19335947488736568]"",";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.4664490062753297, -0.19336632554651692]"",";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.46644819995343856, -0.19333283343517088]"",";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"1,""[-0.4260950006706904, -0.15059123663965013]"",""[-0.46644940943623947, -0.19330543079910673]"",";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
