NUMBER,CENTROIDER,DATA,suma por microcluster;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1,""[-1.4179189395371739, 0.3037313700086223]"",""[-1.4229713669418718, 0.2767203937123988]"",";;;;;;;;;;Hay 10 grupos finales y uno de ellos representa valores atípicos (el negro).;;;;
;;;;;;;;;;;;;;
"1,""[-1.4179189395371739, 0.3037313700086223]"",""[-1.417417481659229, 0.30554040486141326]"",";;;;;;;;;;- Cluster n°1 -> 1 microClusters;;;;9
;;;;;;;;;;;;;;
"1,""[-1.4179189395371739, 0.3037313700086223]"",""[-1.417417481659229, 0.30554040486141326]"",";;;;;;;;;;- Cluster n°2 -> 9 microClusters;;;;138
;;;;;;;;;;;;;;
"1,""[-1.4179189395371739, 0.3037313700086223]"",""[-1.417417481659229, 0.30554040486141326]"",";;;;;;;;;;- Cluster n°3 -> 4 microClusters;;;;79
;;;;;;;;;;;;;;
"1,""[-1.4179189395371739, 0.3037313700086223]"",""[-1.4177032845805402, 0.3112853640258989]"",";;;;;;;;;;- Cluster n°4 -> 1 microClusters;;;;17
;;;;;;;;;;;;;;
"1,""[-1.4179189395371739, 0.3037313700086223]"",""[-1.4094597148706154, 0.34025281757893455]"",";;;;;;;;;;- Cluster n°5 -> 1 microClusters;;;;17
;;;;;;;;;;;;;;
"1,""[-1.4179189395371739, 0.3037313700086223]"",""[-1.4094597148706154, 0.34025281757893455]"",";;;;;;;;;;- Cluster n°6 -> 3 microClusters;;;;30
;;;;;;;;;;;;;;
"1,""[-1.4179189395371739, 0.3037313700086223]"",""[-1.4094597148706154, 0.34025281757893455]"",";;;;;;;;;;- Cluster n°7 -> 1 microClusters;;;;7
;;;;;;;;;;;;;;
--------------------,--------------------------------------,----------------------------,9;;;;;;;;;;- Cluster n°8 -> 2 microClusters;;;;21
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.6802939561683969, 0.3253533540938881]"",";;;;;;;;;;- Cluster n°9 -> 5 microClusters;;;;84
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.6514194914706599, 0.30997232781253997]"",";;;;;;;;;;- Cluster n°-1 -> 26 microClusters;;;;98
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.6170094628598755, 0.3251068980930903]"",";;;;;;;;;;TOTAL;;;;500
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.5830516170644213, 0.29599120893613856]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.5504184124239394, 0.2832672589203368]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.5258652884938666, 0.2727425039821995]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.5090602579926776, 0.24956189302608398]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.5057250235343954, 0.2485905601287475]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.5057250235343954, 0.2485905601287475]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.5057250235343954, 0.2485905601287475]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.5057250235343954, 0.2485905601287475]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.5007811849118512, 0.2461458824776193]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.49861403634938306, 0.243964742219109]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.49816750971314094, 0.2417742888289055]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.4975765225396462, 0.2434960909624479]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.497260855314604, 0.24535433367415876]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"2,""[-0.5149460537070335, 0.2586469495525178]"",""[-0.49367511601445135, 0.24524844129335505]"",";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
